1985-01-01	一九八四 甲子[鼠]年 冬月大十一	周二	元旦节	太乙救苦天尊诞	无	甲子 丙子 庚子 辛巳	无	小寒 (1, 5)	鼠	摩羯座	诸事不宜	诸事不宜
1985-01-02	一九八四 甲子[鼠]年 冬月大十二	周三	无	无	无	甲子 丙子 辛丑 癸巳	无	小寒 (1, 5)	鼠	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、上官、进人口、经络、纳财、扫舍宇、安葬、临政、解除、恤孤茕、出师、选将、举正直、雪冤、施恩、安抚边境、整手足甲、立券交易、祈福	修造、冠带
1985-01-03	一九八四 甲子[鼠]年 冬月大十三	周四	无	无	无	甲子 丙子 壬寅 乙巳	无	小寒 (1, 5)	鼠	摩羯座	宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、颁诏、恤孤茕、解除、出师、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、开渠、穿井、畋猎、取鱼、远回
1985-01-04	一九八四 甲子[鼠]年 冬月大十四	周五	无	无	无	甲子 丙子 癸卯 丁巳	无	小寒 (1, 5)	鼠	摩羯座	诸事不宜	诸事不宜
1985-01-05	一九八四 甲子[鼠]年 冬月大十五	周六	无	无	无	甲子 丁丑 甲辰 己巳	小寒	大寒 (1, 20)	鼠	摩羯座	祭祀、平治道涂、入宅	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1985-01-06	一九八四 甲子[鼠]年 冬月大十六	周日	无	无	无	甲子 丁丑 乙巳 辛巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、结婚姻、宴会、修造、上官、冠带、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、祈福	出行、修置产室、畋猎、破土、启攒、补垣、取鱼、鼓铸、塞穴、乘船渡水
1985-01-07	一九八四 甲子[鼠]年 冬月大十七	周一	无	阿弥陀佛诞	无	甲子 丁丑 丙午 癸巳	无	大寒 (1, 20)	鼠	摩羯座	沐浴、剃头、捕捉、畋猎、整容、赴任、整手足甲、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、宣政事、修饰垣墙、取鱼、上册、苫盖、塞穴、修宫室、立券交易、祈福
1985-01-08	一九八四 甲子[鼠]年 冬月大十八	周二	无	无	周恩来逝世纪念日	甲子 丁丑 丁未 乙巳	无	大寒 (1, 20)	鼠	摩羯座	破屋坏垣	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1985-01-09	一九八四 甲子[鼠]年 冬月大十九	周三	无	太阳日宫诞	无	甲子 丁丑 戊申 丁巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、破土、开仓、纳畜、整容、选将、酝酿、安抚边境	结婚姻、宴会、庆赐、求嗣、纳采
1985-01-10	一九八四 甲子[鼠]年 冬月大二十	周四	无	无	中国公安110宣传日	甲子 丁丑 己酉 己巳	无	大寒 (1, 20)	鼠	摩羯座	出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、扫舍宇、栽种、牧养、临政、裁制、修仓库、赴任、入宅、恤孤茕、解除、筑堤防、布政事、整容、举正直、酝酿、覃恩、雪冤、缮城郭、施恩、上册、修宫室、整手足甲	宴会、畋猎、选将、苫盖、出师
1985-01-11	一九八四 甲子[鼠]年 冬月大廿一	周五	无	无	无	甲子 丁丑 庚戌 辛巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	安床、剃头、冠带、经络、开市、立券、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、补垣、开张、开仓、鼓铸、筑堤防、整容、酝酿、取鱼、修饰垣墙、塞穴、修宫室、整手足甲、立券交易
1985-01-12	一九八四 甲子[鼠]年 冬月大廿二	周六	无	无	无	甲子 丁丑 辛亥 癸巳	无	大寒 (1, 20)	鼠	摩羯座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
1985-01-13	一九八四 甲子[鼠]年 冬月大廿三	周日	无	张仙诞	无	甲子 丁丑 壬子 乙巳	无	大寒 (1, 20)	鼠	摩羯座	祭祀、沐浴、经络、恤孤茕、覃恩、酝酿、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、庆赐、补垣、临政、搬移、开仓、纳采、修仓库、颁诏、乘船渡水、解除、出师、纳畜、招贤、布政事、选将、筑堤防、举正直、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、修宫室、整手足甲、立券交易、祈福
1985-01-14	一九八四 甲子[鼠]年 冬月大廿四	周一	无	无	无	甲子 丁丑 癸丑 丁巳	无	大寒 (1, 20)	鼠	摩羯座	宴会、经络、纳财、庆赐、裁制、恤孤茕、纳畜、布政事、举正直、酝酿、覃恩、雪冤、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、补垣、搬移、开仓、颁诏、解除、整容、筑堤防、求嗣、营建、宣政事、取鱼、修饰垣墙、上册、整手足甲、祈福
1985-01-15	一九八四 甲子[鼠]年 冬月大廿五	周二	无	无	无	甲子 丁丑 甲寅 己巳	无	大寒 (1, 20)	鼠	摩羯座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、解除、入宅、出师、整容、选将、求嗣、缮城郭、安抚边境、整手足甲、修宫室、祈福	祭祀、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、补垣、修仓库、鼓铸、颁诏、乘船渡水、招贤、布政事、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴
1985-01-16	一九八四 甲子[鼠]年 冬月大廿六	周三	无	北方五道诞	无	甲子 丁丑 乙卯 辛巳	无	大寒 (1, 20)	鼠	摩羯座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、筑堤防、整容、布政事、取鱼、修饰垣墙、鼓铸、整手足甲、入宅
1985-01-17	一九八四 甲子[鼠]年 冬月大廿七	周四	无	无	无	甲子 丁丑 丙辰 癸巳	无	大寒 (1, 20)	鼠	摩羯座	诸事不宜	诸事不宜
1985-01-18	一九八四 甲子[鼠]年 冬月大廿八	周五	无	无	无	甲子 丁丑 丁巳 乙巳	无	大寒 (1, 20)	鼠	摩羯座	诸事不宜	出行、安床、剃头、求医疗病、上表章、上官、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、补垣、搬移、开仓、鼓铸、颁诏、解除、乘船渡水、出师、招贤、整容、选将、布政事、筑堤防、举正直、求嗣、营建、安抚边境、取鱼、施恩、宣政事、修饰垣墙、上册、塞穴、祈福
1985-01-19	一九八四 甲子[鼠]年 冬月大廿九	周六	无	无	无	甲子 丁丑 戊午 丁巳	无	大寒 (1, 20)	鼠	摩羯座	沐浴、剃头、捕捉、畋猎、整容、赴任、整手足甲、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、修仓库、解除、纳畜、出师、乘船渡水、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、取鱼、修饰垣墙、上册、苫盖、修宫室、立券交易、祈福
1985-01-20	一九八四 甲子[鼠]年 冬月大三十	周日	无	无	无	甲子 丁丑 己未 己巳	大寒	立春 (2, 4)	鼠	水瓶座	赴任、入宅	祭祀、结婚姻、宴会、剃头、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、求嗣、营建、缮城郭、施恩、安抚边境、修饰垣墙、宣政事、上册、塞穴、整手足甲、修宫室、祈福
1985-01-21	一九八四 甲子[鼠]年 腊月大初一	周一	无	无	列宁逝世纪念日	甲子 丁丑 庚申 辛巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、出行、沐浴、剃头、上表章、上官、竖柱上梁、开市、纳财、扫舍宇、伐木、牧养、安葬、临政、搬移、裁制、开仓、颁诏、恤孤茕、纳畜、招贤、整容、覃恩、举正直、酝酿、雪冤、施恩、宣政事、上册	修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、补垣、筑堤防、取鱼、修饰垣墙、修宫室
1985-01-22	一九八四 甲子[鼠]年 腊月大初二	周二	无	无	无	甲子 丁丑 辛酉 癸巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、扫舍宇、牧养、安葬、临政、裁制、解除、整容、举正直、求嗣、施恩、上册、整手足甲、祈福	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、营建、选将、补垣、修饰垣墙、苫盖、出师
1985-01-23	一九八四 甲子[鼠]年 腊月大初三	周三	无	无	无	甲子 丁丑 壬戌 乙巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
1985-01-24	一九八四 甲子[鼠]年 腊月大初四	周四	无	无	无	甲子 丁丑 癸亥 丁巳	无	立春 (2, 4)	鼠	水瓶座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
1985-01-25	一九八四 甲子[鼠]年 腊月大初五	周五	无	无	无	甲子 丁丑 甲子 己巳	无	立春 (2, 4)	鼠	水瓶座	祭祀、沐浴、经络、安葬、裁制、入宅、恤孤茕、酝酿、覃恩、雪冤、塞穴	诸事不忌
