2029-06-01 10:00:00	二零二九 己酉[鸡]年 四月大二十	星期五	国、际、儿、童、节、眼、光、圣、母、诞	己酉 己巳 壬戌 乙巳	无	芒种 (6, 5)	鸡	双子座	沐浴、剃头、求医疗病、上表章、捕捉、解除、整手足甲、整容	出行、嫁娶、开渠、穿井、安葬、开仓、修仓库
2029-06-02 10:00:00	二零二九 己酉[鸡]年 四月大廿一	星期六	无	己酉 己巳 癸亥 丁巳	无	芒种 (6, 5)	鸡	双子座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、招贤、施恩、解除、颁诏、整容、修饰垣墙、修仓库、布政事、祈福、缮城郭、补垣、取鱼、鼓铸、整手足甲、上册、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、庆赐、临政
2029-06-03 10:00:00	二零二九 己酉[鸡]年 四月大廿二	星期日	无	己酉 己巳 甲子 己巳	无	芒种 (6, 5)	鸡	双子座	宴会、沐浴、布政事、入宅、覃恩、恤孤茕、庆赐、雪冤	结婚姻、求医疗病、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、解除、修仓库、祈福、缮城郭、上册、求嗣、举正直、筑堤防、立券交易、修宫室
2029-06-04 10:00:00	二零二九 己酉[鸡]年 四月大廿三	星期一	无	己酉 己巳 乙丑 辛巳	无	芒种 (6, 5)	鸡	双子座	祭祀、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、牧养、安葬、营建、纳畜、招贤、施恩、解除、颁诏、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、筑堤防、覃恩、恤孤茕、立券交易、酝酿、裁制、庆赐、雪冤、临政、修宫室	冠带、畋猎、乘船渡水、远回、取鱼、整手足甲
2029-06-05 10:00:00	二零二九 己酉[鸡]年 四月大廿四	星期二	世、界、环、境、日	己酉 庚午 丙寅 癸巳	芒种	夏至 (6, 21)	鸡	双子座	结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、营建、招贤、施恩、解除、颁诏、修仓库、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、筑堤防、覃恩、恤孤茕、立券交易、酝酿、裁制、庆赐、雪冤、临政、修宫室	祭祀、畋猎、取鱼、远回
2029-06-06 10:00:00	二零二九 己酉[鸡]年 四月大廿五	星期三	全、国、爱、眼、日	己酉 庚午 丁卯 乙巳	无	夏至 (6, 21)	鸡	双子座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、整容、出师、布政事、修仓库、祈福、缮城郭、补垣、取鱼、鼓铸、上册、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
2029-06-07 10:00:00	二零二九 己酉[鸡]年 四月大廿六	星期四	无	己酉 庚午 戊辰 丁巳	无	夏至 (6, 21)	鸡	双子座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、牧养、赴任、招贤、施恩、解除、颁诏、祈福、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、诉讼、裁制、搬移、庆赐、雪冤、临政	平治道涂、破屋坏垣、伐木、畋猎、破土、营建、取鱼、选将、补垣、安抚边境、筑堤防、修饰垣墙、出师
2029-06-08 10:00:00	二零二九 己酉[鸡]年 四月大廿七	星期五	世、界、海、洋、日	己酉 庚午 己巳 己巳	无	夏至 (6, 21)	鸡	双子座	祭祀、纳财、栽种、牧养、赴任、选将、缮城郭、补垣、入宅、筑堤防、覃恩、恤孤茕、塞穴、裁制、安抚边境、雪冤	出行、上表章、修置产室、开渠、穿井、破土、安葬、启攒、疗目、营建、针刺、出师、上册、布政事
2029-06-09 10:00:00	二零二九 己酉[鸡]年 四月大廿八	星期六	无	己酉 庚午 庚午 辛巳	无	夏至 (6, 21)	鸡	双子座	诸事不宜	诸事不宜
2029-06-10 10:00:00	二零二九 己酉[鸡]年 四月大廿九	星期日	无	己酉 庚午 辛未 癸巳	无	夏至 (6, 21)	鸡	双子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、破土、安葬、营建、纳畜、招贤、施恩、选将、解除、颁诏、整容、修仓库、出师、祈福、缮城郭、上册、整手足甲、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、裁制、搬移、安抚边境、庆赐、雪冤、临政	畋猎、取鱼
2029-06-11 10:00:00	二零二九 己酉[鸡]年 四月大三十	星期一	中、国、人、口、日	己酉 庚午 壬申 乙巳	无	夏至 (6, 21)	鸡	双子座	出行、沐浴、剃头、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、选将、解除、整容、出师、缮城郭、补垣、整手足甲、上册、塞穴、裁制、搬移、安抚边境、修宫室	祭祀、结婚姻、安床、开渠、穿井、招贤、施恩、纳采、举正直
2029-06-12 10:00:00	二零二九 己酉[鸡]年 五月小初一	星期二	南、极、长、生、大、帝、诞	己酉 庚午 癸酉 丁巳	无	夏至 (6, 21)	鸡	双子座	沐浴、剃头、扫舍宇、平治道涂、整容、修饰垣墙	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、出师、修仓库、布政事、祈福、缮城郭、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
2029-06-13 10:00:00	二零二九 己酉[鸡]年 五月小初二	星期三	无	己酉 庚午 甲戌 己巳	无	夏至 (6, 21)	鸡	双子座	祭祀、结婚姻、宴会、嫁娶、上官、冠带、进人口、竖柱上梁、经络、安碓硙、纳畜、缮城郭、祈福、入宅、纳采、酝酿、裁制、搬移、庆赐、临政、修宫室	求医疗病、开市、修置产室、栽种、开仓、解除
2029-06-14 10:00:00	二零二九 己酉[鸡]年 五月小初三	星期四	世、界、献、血、日	己酉 庚午 乙亥 辛巳	无	夏至 (6, 21)	鸡	双子座	祭祀、沐浴、捕捉、覃恩、恤孤茕、雪冤	嫁娶、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、整容、修饰垣墙、布政事、补垣、取鱼、鼓铸、整手足甲、修宫室、筑堤防、塞穴
2029-06-15 10:00:00	二零二九 己酉[鸡]年 五月小初四	星期五	无	己酉 庚午 丙子 癸巳	无	夏至 (6, 21)	鸡	双子座	祭祀、沐浴、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、入宅、取鱼、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
2029-06-16 10:00:00	二零二九 己酉[鸡]年 五月小初五	星期六	端、午、节	己酉 庚午 丁丑 乙巳	无	夏至 (6, 21)	鸡	双子座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、开张、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、乘船渡水、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
2029-06-17 10:00:00	二零二九 己酉[鸡]年 五月小初六	星期日	父、亲、节	己酉 庚午 戊寅 丁巳	无	夏至 (6, 21)	鸡	双子座	结婚姻、宴会、求医疗病、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、破土、开仓、施恩、解除、修仓库、缮城郭、祈福、纳采、求嗣、举正直、筑堤防、立券交易、酝酿、裁制、庆赐、临政、修宫室	祭祀、安葬、远回、选将、整手足甲、出师
2029-06-18 10:00:00	二零二九 己酉[鸡]年 五月小初七	星期一	无	己酉 庚午 己卯 己巳	无	夏至 (6, 21)	鸡	双子座	祭祀、赴任、入宅、覃恩、恤孤茕、雪冤	上表章、冠带、修置产室、开渠、穿井、畋猎、安葬、启攒、营建、招贤、选将、针刺、颁诏、出师、修仓库、补垣、取鱼、鼓铸、上册、乘船渡水、宣政事、筑堤防、塞穴、安抚边境
2029-06-19 10:00:00	二零二九 己酉[鸡]年 五月小初八	星期二	南、方、五、道、诞	己酉 庚午 庚辰 辛巳	无	夏至 (6, 21)	鸡	双子座	出行、结婚姻、宴会、修造、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、赴任、招贤、施恩、解除、颁诏、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、诉讼、裁制、搬移、庆赐、雪冤、临政	伐木、畋猎、取鱼
2029-06-20 10:00:00	二零二九 己酉[鸡]年 五月小初九	星期三	无	己酉 庚午 辛巳 癸巳	无	夏至 (6, 21)	鸡	双子座	祭祀、栽种、牧养、纳畜、修仓库、缮城郭、补垣、筑堤防、覃恩、恤孤茕、塞穴、裁制、雪冤	出行、修置产室、开渠、穿井、畋猎、破土、启攒、疗目、开仓、修宫室、针刺、取鱼
2029-06-21 10:00:00	二零二九 己酉[鸡]年 五月小初十	星期四	无	己酉 庚午 壬午 乙巳	夏至	小暑 (7, 7)	鸡	双子座	诸事不宜	诸事不宜
