1912-05-01	一九一二 壬子[鼠]年 三月大十五	周三	国际劳动节	昊天上帝诞	无	壬子 甲辰 丁丑 乙巳	无	立夏 (5, 6)	鼠	金牛座	进人口、纳财、捕捉、牧养、纳畜、恤孤茕、赴任、入宅、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、鼓铸、整手足甲、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、取鱼
1912-05-02	一九一二 壬子[鼠]年 三月大十六	周四	无	准提菩萨诞	无	壬子 甲辰 戊寅 丁巳	无	立夏 (5, 6)	鼠	金牛座	出行、结婚姻、宴会、上表章、上官、入学、竖柱上梁、开市、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、祈福、立券交易	祭祀、平治道涂、破屋坏垣、伐木、畋猎、启攒、针刺、补垣、取鱼、出师、修饰垣墙、乘船渡水、筑堤防
1912-05-03	一九一二 壬子[鼠]年 三月大十七	周五	无	无	无	壬子 甲辰 己卯 己巳	无	立夏 (5, 6)	鼠	金牛座	覃恩、雪冤、塞穴、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师、疗目
1912-05-04	一九一二 壬子[鼠]年 三月大十八	周六	无	无	无	壬子 甲辰 庚辰 辛巳	无	立夏 (5, 6)	鼠	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1912-05-05	一九一二 壬子[鼠]年 三月大十九	周日	无	中岳大帝诞	无	壬子 甲辰 辛巳 癸巳	无	立夏 (5, 6)	鼠	金牛座	沐浴、扫舍宇、恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、纳采、鼓铸、修仓库、求嗣、上册、颁诏、裁制、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭
1912-05-06	一九一二 壬子[鼠]年 三月大二十	周一	无	子孙娘娘诞	无	壬子 乙巳 壬午 乙巳	立夏	小满 (5, 21)	鼠	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、恤孤茕、布政事、庆赐、入宅、整容、覃恩、雪冤	结婚姻、安床、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、栽种、牧养、纳畜、修仓库、求嗣、上册、乘船渡水、开仓、筑堤防、营建、修宫室、招贤、缮城郭、苫盖、立券交易、取鱼
1912-05-07	一九一二 壬子[鼠]年 三月大廿一	周二	无	无	无	壬子 乙巳 癸未 丁巳	无	小满 (5, 21)	鼠	金牛座	覃恩、雪冤、恤孤茕、布政事	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
1912-05-08	一九一二 壬子[鼠]年 三月大廿二	周三	无	无	无	壬子 乙巳 甲申 己巳	无	小满 (5, 21)	鼠	金牛座	祭祀、沐浴、扫舍宇、平治道涂	出行、安床、修造、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、纳采、针刺、鼓铸、举正直、布政事、修仓库、上册、颁诏、乘船渡水、裁制、庆赐、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、缮城郭、出师、取鱼
1912-05-09	一九一二 壬子[鼠]年 三月大廿三	周四	无	无	无	壬子 乙巳 乙酉 辛巳	无	小满 (5, 21)	鼠	金牛座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、整容、覃恩、营建、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	宴会、修置产室、畋猎、取鱼、乘船渡水、开仓、苫盖
1912-05-10	一九一二 壬子[鼠]年 三月大廿四	周五	无	无	无	壬子 乙巳 丙戌 癸巳	无	小满 (5, 21)	鼠	金牛座	祭祀、宴会、沐浴、剃头、上表章、捕捉、举正直、整手足甲、恤孤茕、求嗣、上册、颁诏、裁制、庆赐、整容、覃恩、宣政事、施恩、雪冤、招贤、祈福	冠带、修置产室、畋猎、破土、启攒、取鱼、修宫室、开仓、筑堤防
1912-05-11	一九一二 壬子[鼠]年 三月大廿五	周六	无	无	无	壬子 乙巳 丁亥 乙巳	无	小满 (5, 21)	鼠	金牛座	沐浴、破屋坏垣、赴任、入宅	祭祀、结婚姻、宴会、嫁娶、剃头、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、取鱼
