1955-01-01	一九五四 甲午[马]年 腊月大初八	周六	元旦节	腊八节-释迦如来成佛之辰	无	甲午 丙子 壬戌 乙巳	无	小寒 (1, 6)	马	摩羯座	结婚姻、宴会、入学、竖柱上梁、开市、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、恤孤茕、求嗣、解除、裁制、庆赐、覃恩、营建、施恩、修宫室、雪冤、祈福、缮城郭	进人口、开渠、伐木、捕捉、畋猎、取鱼、开仓
1955-01-02	一九五四 甲午[马]年 腊月大初九	周日	无	无	无	甲午 丙子 癸亥 丁巳	无	小寒 (1, 6)	马	摩羯座	沐浴、恤孤茕、裁制、筑堤防、覃恩、补垣、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、破土、安葬、启攒、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、立券交易、出师、疗目
1955-01-03	一九五四 甲午[马]年 腊月大初十	周一	无	无	无	甲午 丙子 甲子 己巳	无	小寒 (1, 6)	马	摩羯座	祭祀、沐浴、覃恩、雪冤、恤孤茕、入宅、布政事	诸事不忌
1955-01-04	一九五四 甲午[马]年 腊月大十一	周二	无	无	无	甲午 丙子 乙丑 辛巳	无	小寒 (1, 6)	马	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、牧养、安葬、纳采、举正直、整手足甲、临政、恤孤茕、布政事、求嗣、解除、酝酿、裁制、庆赐、开仓、整容、覃恩、安抚边境、选将、施恩、修宫室、搬移、雪冤、祈福、缮城郭、立券交易、出师	冠带
1955-01-05	一九五四 甲午[马]年 腊月大十二	周三	无	无	无	甲午 丙子 丙寅 癸巳	无	小寒 (1, 6)	马	摩羯座	宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、恤孤茕、布政事、求嗣、解除、上册、裁制、庆赐、覃恩、补垣、安抚边境、选将、修宫室、雪冤、塞穴、祈福、缮城郭、立券交易、出师	祭祀、剃头、远回、招贤、整容
1955-01-06	一九五四 甲午[马]年 腊月大十三	周四	无	无	无	甲午 丁丑 丁卯 乙巳	小寒	大寒 (1, 21)	马	摩羯座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1955-01-07	一九五四 甲午[马]年 腊月大十四	周五	无	无	无	甲午 丁丑 戊辰 丁巳	无	大寒 (1, 21)	马	摩羯座	诸事不宜	诸事不宜
1955-01-08	一九五四 甲午[马]年 腊月大十五	周六	无	无	无	甲午 丁丑 己巳 己巳	无	大寒 (1, 21)	马	摩羯座	结婚姻、宴会、修造、冠带、竖柱上梁、经络、安碓硙、纳畜、纳采、临政、赴任、酝酿、裁制、庆赐、入宅、修宫室、搬移、缮城郭	出行、剃头、求医疗病、上表章、修置产室、栽种、破土、安葬、启攒、鼓铸、整手足甲、解除、上册、乘船渡水、开仓、整容、安抚边境、补垣、选将、塞穴、出师、取鱼
1955-01-09	一九五四 甲午[马]年 腊月大十六	周日	无	南岳大帝诞	无	甲午 丁丑 庚午 辛巳	无	大寒 (1, 21)	马	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、畋猎、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师、诉讼	安床、冠带、进人口、经络、开市、纳财、修置产室、启攒、酝酿、乘船渡水、开仓、筑堤防、修宫室、苫盖、立券交易、取鱼
1955-01-10	一九五四 甲午[马]年 腊月大十七	周一	无	无	中国公安110宣传日	甲午 丁丑 辛未 癸巳	无	大寒 (1, 21)	马	摩羯座	破屋坏垣、解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、安葬、启攒、纳畜、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、塞穴、招贤、出师
1955-01-11	一九五四 甲午[马]年 腊月大十八	周二	无	无	无	甲午 丁丑 壬申 乙巳	无	大寒 (1, 21)	马	摩羯座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、栽种、牧养、安葬、纳畜、整手足甲、酝酿、开仓、整容、安抚边境、选将	结婚姻、宴会、嫁娶、修造、开渠、穿井、纳采、出师、庆赐、修仓库、求嗣
