1993-10-01	一九九三 癸酉[鸡]年 八月小十六	周五	国庆节	天曹掠刷真君降	无	癸酉 辛酉 乙卯 辛巳	无	寒露 (10, 8)	鸡	天秤座	诸事不宜	诸事不宜
1993-10-02	一九九三 癸酉[鸡]年 八月小十七	周六	无	无	无	癸酉 辛酉 丙辰 癸巳	无	寒露 (10, 8)	鸡	天秤座	祭祀、恤孤茕、覃恩、雪冤	剃头、求医疗病、开渠、穿井、补垣、开仓、解除、出师、布政事、整容、筑堤防、塞穴
1993-10-03	一九九三 癸酉[鸡]年 八月小十八	周日	无	天人兴福之辰	无	癸酉 辛酉 丁巳 乙巳	无	寒露 (10, 8)	鸡	天秤座	祭祀、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、庆赐、临政、搬移、裁制、纳采、纳畜、举正直、酝酿、施恩、上册、立券交易、祈福	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、营建、整容、补垣、修饰垣墙
1993-10-04	一九九三 癸酉[鸡]年 八月小十九	周一	无	无	世界动物日	癸酉 辛酉 戊午 丁巳	无	寒露 (10, 8)	鸡	天秤座	祭祀、捕捉、入宅	出行、结婚姻、宴会、安床、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、解除、乘船渡水、招贤、布政事、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、取鱼、上册、苫盖、塞穴、修宫室、整手足甲、立券交易
1993-10-05	一九九三 癸酉[鸡]年 八月小二十	周二	无	无	无	癸酉 辛酉 己未 己巳	无	寒露 (10, 8)	鸡	天秤座	出行、宴会、上表章、上官、入学、进人口、开市、纳财、牧养、庆赐、临政、搬移、裁制、颁诏、解除、恤孤茕、纳畜、招贤、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、祈福	结婚姻、嫁娶、平治道涂、破屋坏垣、伐木、畋猎、破土、补垣、开仓、纳采、筑堤防、营建、取鱼、修饰垣墙
1993-10-06	一九九三 癸酉[鸡]年 八月小廿一	周三	无	无	无	癸酉 辛酉 庚申 辛巳	无	寒露 (10, 8)	鸡	天秤座	祭祀、沐浴、剃头、纳财、扫舍宇、栽种、牧养、补垣、裁制、修仓库、恤孤茕、筑堤防、整容、覃恩、酝酿、雪冤、缮城郭、塞穴	安床、进人口、修置产室、开渠、穿井、畋猎、布政事、针刺、取鱼、修宫室、疗目
1993-10-07	一九九三 癸酉[鸡]年 八月小廿二	周四	无	无	无	癸酉 辛酉 辛酉 癸巳	无	寒露 (10, 8)	鸡	天秤座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、取鱼、上册、塞穴、苫盖、整手足甲、修宫室、立券交易、祈福
1993-10-08	一九九三 癸酉[鸡]年 八月小廿三	周五	无	汉恒候张显王诞	无	癸酉 壬戌 壬戌 乙巳	寒露	霜降 (10, 23)	鸡	天秤座	祭祀、宴会、嫁娶、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、纳畜、招贤、举正直、酝酿、施恩、立券交易	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、破土、安葬、启攒、营建、整容、筑堤防、补垣、修饰垣墙、上册、整手足甲、乘船渡水
1993-10-09	一九九三 癸酉[鸡]年 八月小廿四	周六	无	灶君夫人诞	无	癸酉 壬戌 癸亥 丁巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、出行、结婚姻、宴会、沐浴、剃头、修造、求医疗病、上官、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、赴任、解除、入宅、纳畜、出师、整容、选将、酝酿、求嗣、缮城郭、安抚边境、整手足甲、修宫室、立券交易、祈福	嫁娶、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、营建、修饰垣墙、宣政事、上册、塞穴
1993-10-10	一九九三 癸酉[鸡]年 八月小廿五	周日	无	无	辛亥革命纪念日	癸酉 壬戌 甲子 己巳	无	霜降 (10, 23)	鸡	天秤座	沐浴、赴任、恤孤茕、覃恩、雪冤、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、苫盖、整手足甲、修宫室、远回、祈福
1993-10-11	一九九三 癸酉[鸡]年 八月小廿六	周一	无	无	无	癸酉 壬戌 乙丑 辛巳	无	霜降 (10, 23)	鸡	天秤座	诸事不宜	诸事不宜
