1959-10-01	一九五九 己亥[猪]年 八月小廿九	周四	国庆节	至圣先师孔子诞	无	己亥 癸酉 丙辰 癸巳	无	寒露 (10, 9)	猪	天秤座	祭祀、恤孤茕、覃恩、雪冤	剃头、求医疗病、开渠、穿井、布政事、解除、开仓、整容、筑堤防、补垣、塞穴、出师
1959-10-02	一九五九 己亥[猪]年 九月大初一	周五	无	北斗九星降世	无	己亥 癸酉 丁巳 乙巳	无	寒露 (10, 9)	猪	天秤座	祭祀、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、纳畜、纳采、举正直、临政、上册、酝酿、裁制、庆赐、施恩、祈福、立券交易	出行、剃头、求医疗病、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、补垣、营建、整手足甲、修饰垣墙、整容
1959-10-03	一九五九 己亥[猪]年 九月大初二	周六	无	无	无	己亥 癸酉 戊午 丁巳	无	寒露 (10, 9)	猪	天秤座	祭祀、捕捉	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
1959-10-04	一九五九 己亥[猪]年 九月大初三	周日	无	五瘟神诞	世界动物日	己亥 癸酉 己未 己巳	无	寒露 (10, 9)	猪	天秤座	出行、宴会、上表章、上官、入学、进人口、开市、纳财、牧养、纳畜、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、宣政事、施恩、雪冤、搬移、招贤、祈福	结婚姻、平治道涂、破屋坏垣、伐木、畋猎、破土、营建、补垣、取鱼、修饰垣墙、开仓、筑堤防
1959-10-05	一九五九 己亥[猪]年 九月大初四	周一	无	无	无	己亥 癸酉 庚申 辛巳	无	寒露 (10, 9)	猪	天秤座	祭祀、沐浴、剃头、纳财、扫舍宇、栽种、牧养、整手足甲、恤孤茕、酝酿、裁制、整容、筑堤防、覃恩、补垣、雪冤、塞穴、缮城郭	安床、进人口、修置产室、开渠、穿井、畋猎、针刺、布政事、修宫室、取鱼、疗目
1959-10-06	一九五九 己亥[猪]年 九月大初五	周二	无	无	无	己亥 癸酉 辛酉 癸巳	无	寒露 (10, 9)	猪	天秤座	祭祀、沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
1959-10-07	一九五九 己亥[猪]年 九月大初六	周三	无	无	无	己亥 癸酉 壬戌 乙巳	无	寒露 (10, 9)	猪	天秤座	祭祀、出行、结婚姻、沐浴、剃头、竖柱上梁、扫舍宇、栽种、举正直、临政、解除、赴任、裁制、整容、施恩、修宫室、搬移、缮城郭、诉讼	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、开渠、穿井、牧养、破土、安葬、启攒、纳畜、纳采、针刺、整手足甲、修仓库、求嗣、上册、酝酿、庆赐、开仓、安抚边境、选将、祈福、立券交易、出师
1959-10-08	一九五九 己亥[猪]年 九月大初七	周四	无	无	无	己亥 癸酉 癸亥 丁巳	无	寒露 (10, 9)	猪	天秤座	出行、宴会、沐浴、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、求嗣、解除、上册、裁制、庆赐、补垣、修宫室、塞穴、祈福、缮城郭、立券交易	祭祀、嫁娶、破土、启攒、纳畜、安抚边境、选将、出师、招贤
1959-10-09	一九五九 己亥[猪]年 九月大初八	周五	无	无	无	己亥 甲戌 甲子 己巳	寒露	霜降 (10, 24)	猪	天秤座	出行、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、临政、恤孤茕、布政事、修仓库、求嗣、解除、赴任、上册、裁制、开仓、庆赐、入宅、覃恩、补垣、修宫室、搬移、雪冤、塞穴、祈福、缮城郭、立券交易、诉讼	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、鼓铸、整手足甲、颁诏、整容、筑堤防、安抚边境、营建、宣政事、选将、修饰垣墙、招贤、苫盖、远回、出师
1959-10-10	一九五九 己亥[猪]年 九月大初九	周六	无	重阳节-酆都大帝诞	辛亥革命纪念日	己亥 甲戌 乙丑 辛巳	无	霜降 (10, 24)	猪	天秤座	诸事不宜	诸事不宜
1959-10-11	一九五九 己亥[猪]年 九月大初十	周日	无	无	无	己亥 甲戌 丙寅 癸巳	无	霜降 (10, 24)	猪	天秤座	覃恩、雪冤、恤孤茕、布政事	祭祀、安床、剃头、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、鼓铸、整手足甲、乘船渡水、开仓、整容、筑堤防、补垣、修饰垣墙、塞穴、远回、取鱼
1959-10-12	一九五九 己亥[猪]年 九月大十一	周一	无	无	无	己亥 甲戌 丁卯 乙巳	无	霜降 (10, 24)	猪	天秤座	祭祀、结婚姻、宴会、嫁娶、上官、进人口、经络、纳财、捕捉、安葬、纳畜、临政、恤孤茕、布政事、酝酿、庆赐、覃恩、安抚边境、雪冤、祈福、立券交易	出行、安床、剃头、修造、求医疗病、上表章、冠带、竖柱上梁、开市、修置产室、穿井、栽种、牧养、纳采、举正直、修仓库、求嗣、解除、上册、乘船渡水、开仓、整容、筑堤防、营建、选将、施恩、修宫室、搬移、招贤、缮城郭、出师、取鱼
1959-10-13	一九五九 己亥[猪]年 九月大十二	周二	无	无	中国少年先锋队诞辰日	己亥 甲戌 戊辰 丁巳	无	霜降 (10, 24)	猪	天秤座	祭祀、沐浴、恤孤茕、覃恩、雪冤	出行、结婚姻、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、捕捉、畋猎、破土、安葬、启攒、纳采、鼓铸、举正直、临政、修仓库、上册、酝酿、颁诏、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、缮城郭、立券交易、取鱼
1959-10-14	一九五九 己亥[猪]年 九月大十三	周三	无	孟婆尊神诞	无	己亥 甲戌 己巳 己巳	无	霜降 (10, 24)	猪	天秤座	祭祀、安床、纳采、赴任、安抚边境、选将、雪冤、恤孤茕、入宅	出行、结婚姻、求医疗病、破土、安葬、启攒、纳畜、针刺、开仓、修仓库、解除
1959-10-15	一九五九 己亥[猪]年 九月大十四	周四	无	无	无	己亥 甲戌 庚午 辛巳	无	霜降 (10, 24)	猪	天秤座	祭祀、结婚姻、宴会、嫁娶、求医疗病、上官、入学、进人口、竖柱上梁、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、举正直、临政、求嗣、解除、酝酿、裁制、庆赐、开仓、筑堤防、修宫室、施恩、搬移、祈福、缮城郭、立券交易	乘船渡水、苫盖
1959-10-16	一九五九 己亥[猪]年 九月大十五	周五	无	无	无	己亥 甲戌 辛未 癸巳	无	霜降 (10, 24)	猪	天秤座	祭祀、捕捉、恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、鼓铸、整手足甲、布政事、乘船渡水、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
1959-10-17	一九五九 己亥[猪]年 九月大十六	周六	无	无	无	己亥 甲戌 壬申 乙巳	无	霜降 (10, 24)	猪	天秤座	出行、沐浴、剃头、修造、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、扫舍宇、栽种、牧养、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、整容、覃恩、安抚边境、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭	嫁娶、开渠、伐木、畋猎、取鱼、乘船渡水
1959-10-18	一九五九 己亥[猪]年 九月大十七	周日	无	金龙四大王诞	无	己亥 甲戌 癸酉 丁巳	无	霜降 (10, 24)	猪	天秤座	祭祀、沐浴、剃头、扫舍宇、整手足甲、裁制、整容、补垣、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、立券交易、出师、疗目
1959-10-19	一九五九 己亥[猪]年 九月大十八	周一	无	无	无	己亥 甲戌 甲戌 己巳	无	霜降 (10, 24)	猪	天秤座	出行、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、酝酿、裁制、庆赐、入宅、安抚边境、选将、施恩、搬移、招贤、立券交易、出师	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
1959-10-20	一九五九 己亥[猪]年 九月大十九	周二	无	观世音菩萨出家	无	己亥 甲戌 乙亥 辛巳	无	霜降 (10, 24)	猪	天秤座	沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、纳采、鼓铸、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭
1959-10-21	一九五九 己亥[猪]年 九月大二十	周三	无	无	无	己亥 甲戌 丙子 癸巳	无	霜降 (10, 24)	猪	天秤座	出行、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、开仓、庆赐、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师、诉讼	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、鼓铸、整手足甲、布政事、入宅、整容、筑堤防、修饰垣墙、苫盖、远回、取鱼
1959-10-22	一九五九 己亥[猪]年 九月大廿一	周四	无	无	无	己亥 甲戌 丁丑 乙巳	无	霜降 (10, 24)	猪	天秤座	诸事不宜	诸事不宜
